Alternativas	ECI_2019	Classe	Score_Global_EF	PIB (Bilhões, PPP)	1/Desemprego	Imposto_de_Renda	1/Inflação	Cresc_PIB_perCapita	Receitas/Despesas	Despesas_Educ(%PIB)	Taxa_Alfabetização	Despesas_P&D (%PIB)	Import_Bens_Serviços(%PIB)	GINI	1/População_favelas
Ethiopia	-0.91816	3	52.26	247.1656	0.195886386	33.5	0.115300357	6.206379047	0.962604776	5.083842456	72.75482178	0.439555	26.27485336	35	0.014698677
Finland	1.475789	1	75.82	1893.2528	0.117849483	36.86	1.125872551	0.293192654	0.955075886	6.791939974		3.06510625	38.16335776	27.25555556	
France	1.312219	1	65.06	1169.946	0.074090539	41	0.628377529	0.08173377	0.922711133	5.432384968		2.2271825	31.12720784	32.475	
Gabon	-1.435454	3	56.98	41.0062	0.059189109	29	0.262508532	-0.043392667	1.4125433	2.932815552	89.14390182		26.87653456	38	0.027223231
Georgia	-0.013926	3	75.64	2630.0728	0.112291419	31	0.384733764	3.749252212	0.99998798	3.186863971	99.68254089	0.231271667	57.20128573	37.26	0.029325515
Germany	2.065511	1	73.96	1804.0784	0.26707975	41.5	0.224406445	0.933343251	1.01300315	4.900965095		2.93408125	39.69134202	31.3	100.0000022
Ghana	-0.853631	3	58.38	248.574	0.089773054	35.2	0.12888591	3.650679663	0.827606287	5.258703768	92.4909668		39.88373231	42.95	0.030395137
Greece	0.134085	2	59.46	208.133	0.07673537	33.2	0.655737705	-2.062956908	0.901733305	3.577643315	98.98743057	0.9099625	35.64147675	34.93333333	0.333333333
Guatemala	-0.324376	3	63.44	74.8026	0.269876397	29.8	0.172223753	1.367568372	0.906903789	3.040882993	93.61594772	0.03428625	30.9737384	48.3	0.02979146
Guinea	-1.752985	3	55.02	40.2688	0.202453739	34	0.136087749	3.647239136		2.299229014	50.11778641		52.90839598	31.65	0.021037868
Honduras	-0.57248	3	60.24	211.5716	0.182655074	21	0.306522805	0.618001621	0.955055892	5.817997396	95.79791164	0.027455	62.36704024	50.15555556	0.028169014
Hungary	1.632004	1	66.44	6427.6686	0.226060222	21.36	0.340413943	2.460909817	0.910136421	4.487164974	98.80000305	1.323105	79.40009388	30.36666667	0.07352941
India	0.460608	2	55.32	5656.7092	0.226572413	30.54	0.236216752	3.918700886	0.803383672	3.649011993	88.90446091	0.69856125	24.55175795	35.7	0.031712473
Indonesia	0.017737	2	65.7	2192.4204	0.131891322	32	0.083728252	3.305252849	0.91504293	3.204377784	99.54728063	0.1986075	21.33534599	38.7	0.036014406
Iran, Islamic Rep.	-0.349011	3		749.5114	0.109820115	37.4	0.06434344	-0.69667236		3.343885581	97.95772743	0.45428	24.08955534	39.91428571	0.040650407
Ireland	1.332997	1	81.04	364.5026	0.179153678	44.2	4.582951421	5.74238	0.903722282	4.521364957		1.386957143	97.40050607	32.2625	
Israel	1.258217	1	72.16	1578.9582	0.141578888	46.4	3.092145949	1.456492668	0.872387369	5.866994917		4.37261375	29.7980265	39.8125	
Italy	1.367583	1	63.76	955.6198	0.096991329	35.8	0.534302201	-0.825432189	0.921304563	4.070841223	99.89482117	1.32125875	27.15766492	35.2	
Jamaica	-0.244263	3	68.52	3381.0716	0.137900601	32.32	0.363609919	-0.680888917	1.069370203	5.665686035	96.30000305		50.67464001		0.016910936
Jordan	-0.035604	3	64.42	350.0846	0.088903113	15.6	0.298953662	-1.403851399	0.816545077	3.293520042	99.19938151	0.70781	59.58895139		0.052264809
Kazakhstan	-0.319771	3	67.92	299.6328	0.165136403	18	0.123213406	2.0616908	1.129814873	3.138294458	99.89736176	0.15151	26.64323783	27.45	
Kenya	-0.301547	3	54.52	260.2886	0.181303938	18	0.264872596	1.644042475	0.892313119	5.289721966	87.17781448		25.78977101	40.8	0.020134228
Kuwait	-0.767404	3	61.72	134.0836	0.395914166	9.6	0.493534695	-2.601592992		6.069590092	99.13702138	0.1554975	37.89569144		
Lao PDR	-0.647744	3		54.537	0.274213009	26.96	0.33877634	4.901959242		2.425277472	82.25943375		53.95061676	37.4	0.040927695
Latvia	0.66914	2	72.6	73.3942	0.128955717	26.16	0.493632145	3.613660921	0.909975934	5.280612409	99.82771301	0.6097975	62.6660533	35.03333333	
Lebanon	0.044567	2	50.94	36.5502	0.201661692	23	0.037651453	-4.969082191	0.726447417	2.189602216	99.75182343		49.54109592	31.8	0.017513135
Liberia	-1.701514	3	49.34	48.51	0.148137175	19	0.061132915	-0.435244835		2.22610222	55.39870071			34.25	0.014541929
Lithuania	0.786601	2	75.78	66.2672	0.104569696	17	0.442712945	4.499347211	0.917149693	4.362378776	99.85579681	0.9382775	71.8427151	36.07777778	
Madagascar	-0.951056	3	58.1	32.4408	0.168157665	20	0.152877148	-0.540813473	1.058272776	2.492630045	78.340168	0.0323175	32.97708223	42.6	0.014556041
Malawi	-0.940737	3	52.44	448.0754	0.215007525	28	0.105822345	0.948066103	0.860384419	4.310896662	74.50875854			41.6	0.015090544
Malaysia	1.115255	1	73.14	381.9274	0.214702851	29	0.335412893	2.623987118	1.016402386	5.017877791	97.12893867	1.18739	62.95969762	42.1	
Mali	-0.602993	3	56.62	27.4862	0.117988532	32	2.04415372	0.701114926	1.161924323	3.574871116	46.93846321	0.303205	36.5384011	36.1	0.019933555
Mauritania	-1.369835	3	55.28	23.7908	0.117241541	28	0.619962802	0.924400557		2.084525029	67.48994637	0.01081	50.18010325	32.6	0.012897679
Mauritius	-0.188049	3	74.18	1062.0336	0.139497252	24	0.362108922	1.64990722	1.009613378	4.436829972	98.58618927	0.297	57.38263239	37.65	
Mexico	1.312402	1	64.94	970.87	0.214362272	26.4	0.237079184	0.091727474	0.89690587	4.88389498	98.94313219	0.40149375	36.48848036	47.44	0.069605568
Moldova	-0.156	3	60.66	26.5652	0.142519169	13.6	0.210216523	3.806637877	0.953292582	6.096937762	99.81101227	0.2984175	58.43568602	27.33333333	0.016299918
Mongolia	-0.95565	3	58.66	152.9886	0.148354746	16	0.30273674	4.766482926	1.038209815	4.891106659	98.85216904	0.1875725	59.99247014	32.94	0.025146689
Morocco	-0.523393	3	62.12	136.3638	0.105612234	31	0.728756741	1.118229558	0.990153782		90.15367889		46.76495124	39.5	0.092592591
Mozambique	-1.252757	3	49.66	79.8224	0.060227902	34.2	0.116950857	1.853961256	1.18021708	5.998648855	70.7187767	0.31312	70.35367218	54	0.012809565
Namibia	-0.222108	3	59.98	420.797	0.063631042	39	0.218007412	-0.14846004	1.017920604	8.831422997	94.79217148	0.35209	54.54112889	59.1	0.024193548
Netherlands	1.110004	1	77.26	464.0016	0.213620439	42.8	0.463735856	0.45027323	0.974558029	5.402403653		1.97895875	70.73167707	28.25555556	
New Zealand	0.23424	2	83.44	287.3764	0.195802005	36.2	0.467901928	1.285043135	1.005891286	6.523586273		1.240905	26.82573512		
Nicaragua	-0.880435	3	56.98	542.9186	0.182202463	29.4	0.199385891	1.433430989	1.068073026	3.934321721	91.57177734	0.097508	57.84473102	46.2	0.022918258
Nigeria	-1.773231	3	57.22	461.977	0.137005069	23.4	0.104556576	0.005979411			75.02874756		14.93267626	35.1	0.018987341
North Macedonia	0.040919	2	69.24	458.8578	0.07699652	27.92	0.269774469	1.692135416	0.947516815		98.84674454	0.38806375	67.86482032	35.775	0.120481925
Norway	0.559251	2	74.2	263.031	0.258718824	28.68	0.535561268	0.355308287	1.264597497	7.520697653		1.84589	31.24243892	26.94444444	999.9999525
Oman	-0.443003	3	61.36	755.8398	0.146661973	13	0.418971007	-2.648396507		5.361302495	98.84637604	0.21084875	40.83782176		
Pakistan	-0.664463	3	52.94	478.0552	0.22810219	29	0.276640478	1.583696628		2.547176212	72.42988041	0.276085	18.66802574	30.025	0.023734178
Panama	0.239367	2	66.6	61.6028	0.198846689	31.8	0.561041293	2.06048203	0.959214436	3.019130026	98.99041367	0.123338571	57.20844572	50.56666667	0.042857143
Paraguay	-0.447032	3	62.48	306.851	0.202864446	18	0.338684549	1.787147385	1.103225766	3.796531717	98.52206326	0.09586	33.92101137	47.77	0.057636886
Peru	-0.795222	3	67.72	746.7596	0.269019692	32	0.402673754	1.252983579	1.028696653	3.607429004	99.01233128	0.10162625	23.67756468	43.42	0.029673591
Philippines	0.949998	2	63.7	1084.031	0.248311482	33.2	0.35870579	3.116859806	1.072471315	3.353924274	98.52515411	0.133706667	34.28745213	44.46666667	0.024057738
Poland	1.079311	1	68.76	671.1724	0.174623686	38.4	0.79151496	3.073328616	0.95566388	4.772284985		0.95604125	47.74773545	31.875	100.0000022
Portugal	0.631853	2	66.8	341.4564	0.196386489	28.8	3.265839321	0.118999304	0.871931894	5.006288597	99.54951859	1.330185	40.13296264	34.98888889	0.277777785
Qatar	-0.420442	3	71.44	227.0156	0.275072894	8	1.361655773	-1.139581894		3.452707154	94.01660665	0.502146667	34.7816803		
Romania	1.199197	1	68.86	1227.4996	0.201930455	11.8	0.37744395	3.621229718	0.932418943	3.090973765	99.21244049	0.465565	42.95715457	35.8	0.075471698
Russian Federation	0.120892	2		3689.9488	0.190454424	10.9	0.296366546	1.022010952	0.954880724	4.07619851	99.69844818	1.05481125	20.5716937	36.26	
